timestamp,elapsed_sec,seq,direction,payload_size_bytes,sample_rate,channels,encoding,samples_per_channel,dt_since_previous_sec
1778639994.1823697,0.5064866542816162,1,rx,2730,16000,1,pcm_u8,2730,
1778639994.2378623,0.5619792938232422,2,rx,2730,16000,1,pcm_u8,2730,0.05549263954162598
1778639994.407906,0.7320230007171631,3,rx,2730,16000,1,pcm_u8,2730,0.1700437068939209
1778639994.5789125,0.9030294418334961,4,rx,2730,16000,1,pcm_u8,2730,0.171006441116333
1778639994.7476501,1.0717670917510986,5,rx,2730,16000,1,pcm_u8,2730,0.16873764991760254
1778639994.9205353,1.244652271270752,6,rx,2730,16000,1,pcm_u8,2730,0.17288517951965332
1778639995.0908287,1.4149456024169922,7,rx,2730,16000,1,pcm_u8,2730,0.17029333114624023
1778639995.2649567,1.589073657989502,8,rx,2730,16000,1,pcm_u8,2730,0.17412805557250977
1778639995.4348714,1.758988380432129,9,rx,2730,16000,1,pcm_u8,2730,0.16991472244262695
1778639995.601676,1.925792932510376,10,rx,2730,16000,1,pcm_u8,2730,0.16680455207824707
1778639995.7785282,2.1026451587677,11,rx,2730,16000,1,pcm_u8,2730,0.17685222625732422
1778639995.9477909,2.2719078063964844,12,rx,2730,16000,1,pcm_u8,2730,0.16926264762878418
1778639996.1137044,2.437821388244629,13,rx,2730,16000,1,pcm_u8,2730,0.16591358184814453
1778639996.3023787,2.626495599746704,14,rx,2730,16000,1,pcm_u8,2730,0.1886742115020752
1778639996.4586666,2.7827835083007812,15,rx,2730,16000,1,pcm_u8,2730,0.15628790855407715
1778639996.6310081,2.955125093460083,16,rx,2730,16000,1,pcm_u8,2730,0.17234158515930176
1778639996.7972233,3.121340274810791,17,rx,2730,16000,1,pcm_u8,2730,0.166215181350708
1778639996.9700751,3.29419207572937,18,rx,2730,16000,1,pcm_u8,2730,0.1728518009185791
1778639997.1464093,3.4705262184143066,19,rx,2730,16000,1,pcm_u8,2730,0.17633414268493652
1778639997.3137543,3.637871265411377,20,rx,2730,16000,1,pcm_u8,2730,0.1673450469970703
1778639997.48529,3.8094069957733154,21,rx,2730,16000,1,pcm_u8,2730,0.17153573036193848
1778639997.664093,3.9882099628448486,22,rx,2730,16000,1,pcm_u8,2730,0.1788029670715332
1778639997.8442616,4.168378591537476,23,rx,2730,16000,1,pcm_u8,2730,0.18016862869262695
1778639998.0033844,4.32750129699707,24,rx,2730,16000,1,pcm_u8,2730,0.15912270545959473
1778639998.1640635,4.48818039894104,25,rx,2730,16000,1,pcm_u8,2730,0.16067910194396973
1778639998.3347092,4.658826112747192,26,rx,2730,16000,1,pcm_u8,2730,0.17064571380615234
1778639998.5060136,4.830130577087402,27,rx,2730,16000,1,pcm_u8,2730,0.17130446434020996
1778639998.6966164,5.02073335647583,28,rx,2730,16000,1,pcm_u8,2730,0.19060277938842773
1778639998.8454103,5.169527292251587,29,rx,2730,16000,1,pcm_u8,2730,0.14879393577575684
1778639999.0167136,5.340830564498901,30,rx,2730,16000,1,pcm_u8,2730,0.17130327224731445
1778639999.1913157,5.515432596206665,31,rx,2730,16000,1,pcm_u8,2730,0.17460203170776367
1778639999.3595912,5.683708190917969,32,rx,2730,16000,1,pcm_u8,2730,0.1682755947113037
1778639999.5317442,5.855861186981201,33,rx,2730,16000,1,pcm_u8,2730,0.17215299606323242
1778639999.6974902,6.021607160568237,34,rx,2730,16000,1,pcm_u8,2730,0.16574597358703613
1778639999.8696368,6.193753719329834,35,rx,2730,16000,1,pcm_u8,2730,0.17214655876159668
1778640000.0419197,6.366036653518677,36,rx,2730,16000,1,pcm_u8,2730,0.17228293418884277
1778640000.2136722,6.5377891063690186,37,rx,2730,16000,1,pcm_u8,2730,0.1717524528503418
1778640000.3897896,6.713906526565552,38,rx,2730,16000,1,pcm_u8,2730,0.1761174201965332
1778640000.5545754,6.878692388534546,39,rx,2730,16000,1,pcm_u8,2730,0.16478586196899414
1778640000.7281108,7.052227735519409,40,rx,2730,16000,1,pcm_u8,2730,0.17353534698486328
1778640000.892491,7.216608047485352,41,rx,2730,16000,1,pcm_u8,2730,0.16438031196594238
1778640001.0644245,7.3885414600372314,42,rx,2730,16000,1,pcm_u8,2730,0.17193341255187988
1778640001.247489,7.571605920791626,43,rx,2730,16000,1,pcm_u8,2730,0.18306446075439453
1778640001.4170463,7.74116325378418,44,rx,2730,16000,1,pcm_u8,2730,0.1695573329925537
1778640001.5765233,7.900640249252319,45,rx,2730,16000,1,pcm_u8,2730,0.15947699546813965
1778640001.7460175,8.070134401321411,46,rx,2730,16000,1,pcm_u8,2730,0.1694941520690918
1778640001.918395,8.242511987686157,47,rx,2730,16000,1,pcm_u8,2730,0.1723775863647461
1778640002.096643,8.420759916305542,48,rx,2730,16000,1,pcm_u8,2730,0.17824792861938477
1778640002.2636867,8.587803602218628,49,rx,2730,16000,1,pcm_u8,2730,0.16704368591308594
1778640002.4315548,8.755671739578247,50,rx,2730,16000,1,pcm_u8,2730,0.16786813735961914
1778640002.6110733,8.935190200805664,51,rx,2730,16000,1,pcm_u8,2730,0.179518461227417
1778640002.7778656,9.101982593536377,52,rx,2730,16000,1,pcm_u8,2730,0.1667923927307129
1778640002.9455664,9.269683361053467,53,rx,2730,16000,1,pcm_u8,2730,0.16770076751708984
1778640003.1195493,9.443666219711304,54,rx,2730,16000,1,pcm_u8,2730,0.17398285865783691
1778640003.2874527,9.61156964302063,55,rx,2730,16000,1,pcm_u8,2730,0.16790342330932617
1778640003.4565196,9.780636548995972,56,rx,2730,16000,1,pcm_u8,2730,0.1690669059753418
1778640003.628834,9.952950954437256,57,rx,2730,16000,1,pcm_u8,2730,0.17231440544128418
1778640003.8050685,10.129185438156128,58,rx,2730,16000,1,pcm_u8,2730,0.17623448371887207
1778640004.5133765,10.837493419647217,59,rx,2730,16000,1,pcm_u8,2730,0.7083079814910889
1778640004.5362737,10.860390663146973,60,rx,2730,16000,1,pcm_u8,2730,0.02289724349975586
1778640004.544343,10.868459939956665,61,rx,2730,16000,1,pcm_u8,2730,0.008069276809692383
1778640004.5534203,10.877537250518799,62,rx,2730,16000,1,pcm_u8,2730,0.009077310562133789
1778640004.6506255,10.974742412567139,63,rx,2730,16000,1,pcm_u8,2730,0.09720516204833984
1778640004.8377783,11.161895275115967,64,rx,2730,16000,1,pcm_u8,2730,0.18715286254882812
1778640005.002637,11.326753854751587,65,rx,2730,16000,1,pcm_u8,2730,0.16485857963562012
1778640005.163854,11.48797082901001,66,rx,2730,16000,1,pcm_u8,2730,0.16121697425842285
1778640005.3385506,11.662667512893677,67,rx,2730,16000,1,pcm_u8,2730,0.174696683883667
1778640005.5038319,11.827948808670044,68,rx,2730,16000,1,pcm_u8,2730,0.1652812957763672
1778640005.6771865,12.001303434371948,69,rx,2730,16000,1,pcm_u8,2730,0.1733546257019043
1778640005.8452778,12.169394731521606,70,rx,2730,16000,1,pcm_u8,2730,0.1680912971496582
1778640006.024151,12.348268032073975,71,rx,2730,16000,1,pcm_u8,2730,0.17887330055236816
1778640006.1939924,12.518109321594238,72,rx,2730,16000,1,pcm_u8,2730,0.16984128952026367
1778640006.3584754,12.682592391967773,73,rx,2730,16000,1,pcm_u8,2730,0.16448307037353516
1778640006.5337892,12.857906103134155,74,rx,2730,16000,1,pcm_u8,2730,0.17531371116638184
1778640006.7035327,13.027649641036987,75,rx,2730,16000,1,pcm_u8,2730,0.16974353790283203
1778640006.871211,13.195327997207642,76,rx,2730,16000,1,pcm_u8,2730,0.1676783561706543
1778640007.051508,13.375624895095825,77,rx,2730,16000,1,pcm_u8,2730,0.1802968978881836
1778640007.2134283,13.537545204162598,78,rx,2730,16000,1,pcm_u8,2730,0.16192030906677246
1778640007.3968873,13.721004247665405,79,rx,2730,16000,1,pcm_u8,2730,0.18345904350280762
1778640007.556934,13.881051063537598,80,rx,2730,16000,1,pcm_u8,2730,0.16004681587219238
1778640007.735448,14.05956482887268,81,rx,2730,16000,1,pcm_u8,2730,0.178513765335083
1778640007.8943927,14.218509674072266,82,rx,2730,16000,1,pcm_u8,2730,0.15894484519958496
1778640008.066702,14.39081883430481,83,rx,2730,16000,1,pcm_u8,2730,0.17230916023254395
1778640008.255306,14.579422950744629,84,rx,2730,16000,1,pcm_u8,2730,0.18860411643981934
1778640008.408023,14.732140064239502,85,rx,2730,16000,1,pcm_u8,2730,0.15271711349487305
1778640008.5848348,14.908951759338379,86,rx,2730,16000,1,pcm_u8,2730,0.17681169509887695
1778640008.7489057,15.073022603988647,87,rx,2730,16000,1,pcm_u8,2730,0.16407084465026855
1778640008.9182947,15.242411613464355,88,rx,2730,16000,1,pcm_u8,2730,0.169389009475708
1778640009.0967948,15.42091178894043,89,rx,2730,16000,1,pcm_u8,2730,0.17850017547607422
1778640009.2606604,15.584777355194092,90,rx,2730,16000,1,pcm_u8,2730,0.1638655662536621
1778640009.4358172,15.759934186935425,91,rx,2730,16000,1,pcm_u8,2730,0.175156831741333
1778640009.6053588,15.929475784301758,92,rx,2730,16000,1,pcm_u8,2730,0.169541597366333
1778640009.786609,16.11072587966919,93,rx,2730,16000,1,pcm_u8,2730,0.18125009536743164
1778640009.943852,16.267968893051147,94,rx,2730,16000,1,pcm_u8,2730,0.157243013381958
1778640010.112754,16.43687105178833,95,rx,2730,16000,1,pcm_u8,2730,0.16890215873718262
1778640010.2970555,16.621172428131104,96,rx,2730,16000,1,pcm_u8,2730,0.18430137634277344
1778640010.455056,16.779172897338867,97,rx,2730,16000,1,pcm_u8,2730,0.15800046920776367
