stream,message_count,duration_sec,average_rate_hz,expected_period_sec,expected_rate_hz,mean_dt_sec,median_dt_sec,std_dt_sec,min_dt_sec,max_dt_sec,p95_dt_sec,p99_dt_sec,gaps_above_2x_expected,gaps_above_0_2_sec,stability_label
cmd_vel,12225,611.1935722827911,20.001846476133515,0.05,20.0,0.049999474172348714,0.0525095462799072,0.004672703145512448,0.0259830951690673,0.0692288875579834,0.053591835498809796,0.05546239137649535,0,0,excellent
telemetry_json,6069,611.1817467212677,9.929943151210955,0.1,10.0,0.10072210723817855,0.1000189781188964,0.010982111221282672,0.045790672302246,0.2076237201690673,0.10766676664352408,0.14123551368713377,23,23,good
video,12205,611.1872818470001,19.96932914427906,0.05,20.0,0.050080898217551593,0.0498883724212646,0.012572683079832442,0.0023953914642333,0.7530238628387451,0.05636558532714843,0.06287682056426991,65,2,good
audio_rx,3575,611.012335062027,5.850945709037255,0.17,5.88235294117647,0.17096036235647089,0.17075669765472404,0.016067191855719004,0.0182487964630126,0.8566989898681641,0.17847368717193599,0.19892587184906002,3,34,good
audio_tx,7452,510.1703851222992,14.606884714042328,0.0213,46.948356807511736,0.06847005571363561,0.0286691188812255,2.0355398702974496,0.0004210472106933,91.58471727371216,0.030268073081970152,0.03162491321563715,4,4,good
