stream,message_count,duration_sec,average_rate_hz,expected_period_sec,expected_rate_hz,mean_dt_sec,median_dt_sec,std_dt_sec,min_dt_sec,max_dt_sec,p95_dt_sec,p99_dt_sec,gaps_above_2x_expected,gaps_above_0_2_sec,stability_label
cmd_vel,17991,899.444614648819,20.002343342757623,0.05,20.0,0.04999692132567082,0.0524485111236572,0.0045517598832789585,0.0004301071166992,0.0692110061645507,0.05354382991790771,0.05529469490051263,0.0,0.0,excellent
telemetry_json,8667,899.9578900337219,9.630450597722126,0.1,10.0,0.10384928341030714,0.1000113487243652,0.043641949975974995,0.0015628337860107,1.6081295013427734,0.10240811109542843,0.200050151348114,101.0,101.0,good
video,17750,899.9741966724396,19.722787681723286,0.05,20.0,0.0507056282986331,0.0494792461395263,0.03640061601872823,0.0003790855407714,1.6270854473114014,0.06827511787414543,0.11569983482360838,279.0,65.0,good
audio_rx,5219,899.8763077259064,5.79968597371902,0.17,5.88235294117647,0.17245617242734887,0.17072355747222895,0.0647917951712687,0.0004034042358398,1.8949878215789795,0.19175095558166488,0.3448668599128722,65.0,178.0,good
audio_tx,0,,,0.0213,46.948356807511736,,,,,,,,,,not_available
