metric,value
udp_command_packets_sent,8993
udp_command_send_errors,0
udp_audio_packets_sent,6950
udp_audio_send_errors,0
udp_packets_rx_total,27694
udp_socket_timeouts,1
udp_recv_errors,0
udp_unknown_packets,0
telemetry_packets_rx,11851
telemetry_packets_published,6093
telemetry_packets_wrong_id,1
telemetry_decode_attempts_ok,11852
telemetry_decode_attempts_failed,15842
video_packets_ok,12253
video_packets_non_jpeg,0
audio_packets_ok,3589
audio_packets_non_audio,0
cmd_vel_messages_rx,12269
force_rpi_messages_rx,2
cam_stable_messages_rx,2
cam_angle_messages_rx,0
audio_tx_messages_rx,6950
