metric,value
udp_command_packets_sent,53249
udp_command_send_errors,0
udp_audio_packets_sent,0
udp_audio_send_errors,0
udp_packets_rx_total,166557
udp_socket_timeouts,25
udp_recv_errors,0
udp_unknown_packets,0
telemetry_packets_rx,71197
telemetry_packets_published,36582
telemetry_packets_wrong_id,4
telemetry_decode_attempts_ok,71201
telemetry_decode_attempts_failed,95356
video_packets_ok,73747
video_packets_non_jpeg,0
audio_packets_ok,21609
audio_packets_non_audio,0
cmd_vel_messages_rx,73829
force_rpi_messages_rx,0
cam_stable_messages_rx,0
cam_angle_messages_rx,0
audio_tx_messages_rx,0
