stream,message_count,duration_sec,average_rate_hz,expected_period_sec,expected_rate_hz,mean_dt_sec,median_dt_sec,std_dt_sec,min_dt_sec,max_dt_sec,p95_dt_sec,p99_dt_sec,gaps_above_2x_expected,gaps_above_0_2_sec,stability_label
cmd_vel,17510,875.4563348293304,20.000997540800892,0.05,20.0,0.0500003618041767,0.0525202751159668,0.004674250423797845,0.038306713104248,0.0605103969573974,0.05366868972778318,0.05570910453796385,0.0,0.0,excellent
telemetry_json,8557,864.7032961845398,9.89587993680299,0.1,10.0,0.10106396636097938,0.1000051498413086,0.011810341167334879,0.0841321945190429,0.4009907245635986,0.10164600610733027,0.10808473825454763,43.0,43.0,good
video,17211,864.7484428882599,19.90289793701768,0.05,20.0,0.05024685897084597,0.049978137016296345,0.016442794277320965,0.0009076595306396,0.9028284549713136,0.06051502227783198,0.09558682918548575,147.0,20.0,good
audio_rx,5043,864.4692962169647,5.833636916971898,0.17,5.88235294117647,0.17145364859519333,0.17074334621429435,0.023296786963593323,0.0115125179290771,1.0311574935913086,0.18393472433090202,0.2114231181144714,18.0,92.0,good
audio_tx,0,,,0.0213,46.948356807511736,,,,,,,,,,not_available
