metric,value
udp_command_packets_sent,12691
udp_command_send_errors,0
udp_audio_packets_sent,0
udp_audio_send_errors,0
udp_packets_rx_total,38759
udp_socket_timeouts,81
udp_recv_errors,0
udp_unknown_packets,0
telemetry_packets_rx,16516
telemetry_packets_published,8553
telemetry_packets_wrong_id,1
telemetry_decode_attempts_ok,16517
telemetry_decode_attempts_failed,22242
video_packets_ok,17202
video_packets_non_jpeg,0
audio_packets_ok,5040
audio_packets_non_audio,0
cmd_vel_messages_rx,17549
force_rpi_messages_rx,0
cam_stable_messages_rx,0
cam_angle_messages_rx,0
audio_tx_messages_rx,0
