metric,value
udp_command_packets_sent,25666
udp_command_send_errors,0
udp_audio_packets_sent,0
udp_audio_send_errors,0
udp_packets_rx_total,80956
udp_socket_timeouts,1
udp_recv_errors,0
udp_unknown_packets,0
telemetry_packets_rx,34548
telemetry_packets_published,17923
telemetry_packets_wrong_id,0
telemetry_decode_attempts_ok,34548
telemetry_decode_attempts_failed,46408
video_packets_ok,35947
video_packets_non_jpeg,0
audio_packets_ok,10461
audio_packets_non_audio,0
cmd_vel_messages_rx,36128
force_rpi_messages_rx,0
cam_stable_messages_rx,0
cam_angle_messages_rx,0
audio_tx_messages_rx,0
