metric,value
udp_command_packets_sent,9645
udp_command_send_errors,0
udp_audio_packets_sent,700
udp_audio_send_errors,0
udp_packets_rx_total,29415
udp_socket_timeouts,43
udp_recv_errors,0
udp_unknown_packets,0
telemetry_packets_rx,12538
telemetry_packets_published,6452
telemetry_packets_wrong_id,0
telemetry_decode_attempts_ok,12538
telemetry_decode_attempts_failed,16877
video_packets_ok,13032
video_packets_non_jpeg,0
audio_packets_ok,3845
audio_packets_non_audio,0
cmd_vel_messages_rx,13166
force_rpi_messages_rx,3
cam_stable_messages_rx,8
cam_angle_messages_rx,3
audio_tx_messages_rx,700
