variable,count,mean,median,std,min,max,p95,p99
voltage,6447,12.526109838922098,12.529999732971191,0.07746832063765469,12.130000114440918,12.899999618530272,12.640000343322754,12.6899995803833
current,6447,0.5182162225861822,0.5,0.1333785468102725,-0.5,1.690000057220459,0.7200000286102295,0.8700000047683716
power,6447,6.488388394837243,6.269999980926514,1.6518077297063356,-6.320000171661377,20.93000030517578,9.0,10.845400276184083
percentage,6447,97.81131980591861,97.98999786376952,1.8973492501133913,86.98999786376953,100.0,100.0,100.0
pcb_temp,6447,29.871836543212627,30.07999992370605,3.010375809062108,24.01000022888184,34.599998474121094,34.130001068115234,34.459999084472656
cpu_temp,6447,55.790422015621324,57.29999923706055,3.9980185546654274,43.0,61.70000076293945,60.04999923706055,60.59999847412109
robot_server_ping,6447,145.13574682880378,141.5,85.16008566217721,138.05999755859375,3598.320068359375,146.71399993896483,154.2717999267578
client_server_ping,6447,70.77809990678293,60.90999984741211,35.230805114554165,48.709999084472656,1044.6700439453125,102.13999938964844,206.5178024291992
