stream,message_count,duration_sec,average_rate_hz,expected_period_sec,expected_rate_hz,mean_dt_sec,median_dt_sec,std_dt_sec,min_dt_sec,max_dt_sec,p95_dt_sec,p99_dt_sec,gaps_above_2x_expected,gaps_above_0_2_sec,stability_label
cmd_vel,73769,3688.343804121018,20.00057584587892,0.05,20.0,0.04999923820790877,0.052553653717041,0.004797479606841842,0.0007636547088623,0.1781485080718994,0.053912556171417214,0.055737726688384934,1.0,0.0,excellent
telemetry_json,36576,3688.8597447872157,9.91525905848985,0.1,10.0,0.10085740929014943,0.100006103515625,0.010090076394845276,0.0029981136322021,0.505584716796875,0.10303773880004875,0.1079775190353395,172.0,172.0,good
video,73731,3688.840968608856,19.987578924500397,0.05,20.0,0.050031750557559374,0.0498797893524169,0.012650376878174587,0.0005407333374023,0.4987301826477051,0.0574302673339843,0.08224094867706319,560.0,27.0,good
audio_rx,21605,3688.8371422290807,5.85685926675109,0.17,5.88235294117647,0.17074787734813368,0.1707513332366943,0.01427518540744214,0.0089869499206542,0.6461241245269775,0.18094440698623654,0.2046837806701661,11.0,308.0,good
audio_tx,0,,,0.0213,46.948356807511736,,,,,,,,,,not_available
