stream,message_count,duration_sec,average_rate_hz,expected_period_sec,expected_rate_hz,mean_dt_sec,median_dt_sec,std_dt_sec,min_dt_sec,max_dt_sec,p95_dt_sec,p99_dt_sec,gaps_above_2x_expected,gaps_above_0_2_sec,stability_label
cmd_vel,36061,1802.9487628936765,20.00112301700866,0.05,20.0,0.04999857911518789,0.0525376796722412,0.0048501246532273905,0.0006413459777832,0.0832483768463134,0.054230499267578114,0.055965671539306566,0.0,0.0,excellent
telemetry_json,17892,1803.5019426345825,9.92069904502742,0.1,10.0,0.10080498254063955,0.1000239849090576,0.009093032799766573,0.0651051998138427,0.2121472358703613,0.10263311862945554,0.10787236690521212,68.0,68.0,good
video,35887,1803.4730999469757,19.898827435272043,0.05,20.0,0.05025561778818966,0.04992425441741935,0.014781562769641597,0.000406265258789,0.2096931934356689,0.06814473867416379,0.09201712608337417,264.0,6.0,good
audio_rx,10447,1803.5451209545135,5.792480531050423,0.17,5.88235294117647,0.1726541375602636,0.17073500156402585,0.022023330504278044,0.0124533176422119,0.3670172691345215,0.18857318162918085,0.33517698049545264,76.0,264.0,good
audio_tx,0,,,0.0213,46.948356807511736,,,,,,,,,,not_available
