stream,message_count,duration_sec,average_rate_hz,expected_period_sec,expected_rate_hz,mean_dt_sec,median_dt_sec,std_dt_sec,min_dt_sec,max_dt_sec,p95_dt_sec,p99_dt_sec,gaps_above_2x_expected,gaps_above_0_2_sec,stability_label
cmd_vel,13122,656.0325367450714,20.002056704542834,0.05,20.0,0.049998669060671505,0.0524361133575439,0.004603412801352721,0.0342965126037597,0.0603163242340087,0.0534210205078125,0.05511674880981441,0,0,excellent
telemetry_json,6447,656.0001003742218,9.827742398701227,0.1,10.0,0.10176855420015848,0.1000065803527832,0.029149146182147968,0.0399045944213867,1.400132179260254,0.10212093591690058,0.13080805540084847,30,30,good
video,13022,655.9797270298004,19.85122323667241,0.05,20.0,0.0503785981898318,0.049863576889038,0.02334851356609562,0.0016648769378662,1.314194917678833,0.0570909976959228,0.07550406455993644,83,18,good
audio_rx,3843,655.9082219600677,5.859051421120873,0.17,5.88235294117647,0.1707205158667537,0.17075836658477775,0.04454954549096467,0.0003798007965087,1.733170986175537,0.18004604578018182,0.2039870262145996,12,54,good
audio_tx,734,134.58741450309753,5.453704588277881,0.0213,46.948356807511736,0.18361175239167463,0.0287516117095947,4.394172913899984,0.0003941059112548,118.98853635787964,0.030413341522216718,0.03213138580322259,1,1,good
