timestamp,elapsed_sec,topic,value
1778635857.8130138,104.59057188034058,/rb23/force_rpi,True
1778635862.819401,109.5969591140747,/rb23/force_rpi,False
1778635874.2349539,121.01251196861267,/rb23/force_rpi,True
1778635878.6549826,125.43254065513611,/rb23/cam_stable,False
1778635888.0638115,134.84136962890625,/rb23/cam_angle,0.10000000149011612
1778635889.0836577,135.86121582984924,/rb23/cam_angle,0.20000000298023224
1778635894.3725681,141.15012621879578,/rb23/cam_angle,0.10000000149011612
1778635900.0554943,146.8330523967743,/rb23/cam_stable,True
1778635905.5842788,152.3618369102478,/rb23/cam_stable,False
1778635917.0780356,163.85559368133545,/rb23/cam_stable,True
1778635937.1818008,183.95935893058777,/rb23/audio_mode,1
1778635940.6509397,187.42849779129028,/rb23/audio_mode,2
1778636016.1597986,262.93735671043396,/rb23/audio_mode,2
1778636022.2199056,268.9974637031555,/rb23/audio_mode,2
1778636025.8884163,272.6659743785858,/rb23/audio_mode,1
1778636027.867119,274.6446771621704,/rb23/audio_mode,2
1778636047.9485192,294.7260773181915,/rb23/audio_mode,2
1778636060.3905256,307.1680836677551,/rb23/audio_mode,3
1778636071.5087054,318.28626346588135,/rb23/audio_mode,2
1778636081.4521306,328.2296886444092,/rb23/audio_mode,1
1778636186.146819,432.92437720298767,/rb23/audio_mode,2
1778636190.4635222,437.24108028411865,/rb23/audio_mode,3
1778636195.0041585,441.7817165851593,/rb23/audio_mode,1
1778636200.2193606,446.9969186782837,/rb23/cam_stable,False
1778636202.2008684,448.9784264564514,/rb23/cam_stable,True
1778636207.540471,454.31802916526794,/rb23/cam_stable,False
1778636212.0061035,458.7836616039276,/rb23/cam_stable,True
