timestamp,elapsed_sec,seq,payload_size_bytes,format,dt_since_previous_sec
1778635753.286665,0.06422305107116699,1,12779,jpeg,
1778635753.329384,0.10694217681884766,2,12824,jpeg,0.042719125747680664
1778635753.3801765,0.15773463249206543,3,12793,jpeg,0.05079245567321777
1778635753.430675,0.20823311805725098,4,12809,jpeg,0.05049848556518555
1778635753.4792497,0.256807804107666,5,12792,jpeg,0.04857468605041504
1778635753.5303173,0.307875394821167,6,12790,jpeg,0.05106759071350098
1778635753.581212,0.35877013206481934,7,12793,jpeg,0.050894737243652344
1778635753.6297657,0.40732383728027344,8,12796,jpeg,0.0485537052154541
1778635753.6788504,0.4564085006713867,9,12797,jpeg,0.04908466339111328
1778635753.7295263,0.5070843696594238,10,12805,jpeg,0.05067586898803711
1778635753.7795677,0.5571258068084717,11,12783,jpeg,0.05004143714904785
1778635753.8290973,0.6066553592681885,12,12791,jpeg,0.0495295524597168
1778635753.8802938,0.6578519344329834,13,12780,jpeg,0.05119657516479492
1778635753.929108,0.7066659927368164,14,12807,jpeg,0.04881405830383301
1778635753.9829345,0.7604925632476807,15,12808,jpeg,0.05382657051086426
1778635754.0304422,0.8080003261566162,16,12794,jpeg,0.04750776290893555
1778635754.0789328,0.8564908504486084,17,12795,jpeg,0.04849052429199219
1778635754.1342528,0.9118108749389648,18,12806,jpeg,0.055320024490356445
1778635754.1844769,0.9620349407196045,19,12800,jpeg,0.05022406578063965
1778635754.2365587,1.0141167640686035,20,12774,jpeg,0.05208182334899902
1778635754.2805622,1.0581202507019043,21,12814,jpeg,0.04400348663330078
1778635754.3330927,1.1106507778167725,22,12774,jpeg,0.052530527114868164
1778635754.3793285,1.1568865776062012,23,12787,jpeg,0.04623579978942871
1778635754.4300423,1.2076003551483154,24,12820,jpeg,0.05071377754211426
1778635754.486401,1.2639591693878174,25,12815,jpeg,0.05635881423950195
1778635754.5384524,1.3160104751586914,26,12809,jpeg,0.05205130577087402
1778635754.5793092,1.3568673133850098,27,12801,jpeg,0.04085683822631836
1778635754.643478,1.4210360050201416,28,12812,jpeg,0.06416869163513184
1778635754.6802883,1.4578464031219482,29,12771,jpeg,0.03681039810180664
1778635754.7292657,1.5068237781524658,30,12787,jpeg,0.04897737503051758
1778635754.780964,1.5585219860076904,31,12780,jpeg,0.05169820785522461
1778635754.831437,1.6089951992034912,32,12813,jpeg,0.05047321319580078
1778635754.8820817,1.659639835357666,33,12820,jpeg,0.050644636154174805
1778635754.9317102,1.70926833152771,34,12816,jpeg,0.049628496170043945
1778635754.9854004,1.7629585266113281,35,12808,jpeg,0.053690195083618164
1778635755.032121,1.8096790313720703,36,12818,jpeg,0.04672050476074219
1778635755.081159,1.8587172031402588,37,12841,jpeg,0.04903817176818848
1778635755.1370537,1.91461181640625,38,12824,jpeg,0.05589461326599121
1778635755.1808023,1.9583604335784912,39,12782,jpeg,0.04374861717224121
1778635755.2312481,2.0088062286376953,40,12773,jpeg,0.0504457950592041
1778635755.2789803,2.0565383434295654,41,12791,jpeg,0.04773211479187012
1778635755.3316302,2.1091883182525635,42,12793,jpeg,0.05264997482299805
1778635755.3823094,2.159867525100708,43,12825,jpeg,0.05067920684814453
1778635755.4315715,2.209129571914673,44,12803,jpeg,0.049262046813964844
1778635755.4814572,2.2590153217315674,45,12790,jpeg,0.04988574981689453
1778635755.5305853,2.308143377304077,46,12753,jpeg,0.049128055572509766
1778635755.579605,2.357163190841675,47,12794,jpeg,0.049019813537597656
1778635755.6297007,2.4072587490081787,48,12747,jpeg,0.050095558166503906
1778635755.6834943,2.461052417755127,49,12764,jpeg,0.05379366874694824
1778635755.7288349,2.5063929557800293,50,12759,jpeg,0.045340538024902344
1778635755.7943566,2.5719146728515625,51,12765,jpeg,0.0655217170715332
