timestamp,elapsed_sec,seq,payload_size_bytes,field_count,keys_preview,dt_since_previous_sec,raw_json
1778635754.2597654,1.0373234748840332,11,374,17,"absolute_ping_millis,amps,button,client_server_ping,cpu_temp,follow_mode,local_controller,m1,m2,mag_x,mag_y,mag_z",0.09998083114624023,"{""m1"":[0],""m2"":[0],""button"":[0],""local_controller"":[false],""pitch"":[0.018327141],""rotation"":[-0.402606006],""mag_x"":[-5173],""mag_y"":[-850],""mag_z"":[-2470],""volts"":[12.53774411],""amps"":[0.272578125],""pcb_temp"":[24.20058823],""follow_mode"":false,""cpu_temp"":45.75,""absolute_ping_millis"":1778635754124.1477,""robot_server_ping"":140.77294921875,""client_server_ping"":64.966064453125}"
1778635754.3598077,1.1373658180236816,12,373,17,"absolute_ping_millis,amps,button,client_server_ping,cpu_temp,follow_mode,local_controller,m1,m2,mag_x,mag_y,mag_z",0.10004234313964844,"{""m1"":[0],""m2"":[0],""button"":[0],""local_controller"":[false],""pitch"":[0.018305711],""rotation"":[-0.403020308],""mag_x"":[-5168],""mag_y"":[-850],""mag_z"":[-2432],""volts"":[12.55106442],""amps"":[0.439243164],""pcb_temp"":[24.10647011],""follow_mode"":false,""cpu_temp"":43.0,""absolute_ping_millis"":1778635754234.7175,""robot_server_ping"":142.99267578125,""client_server_ping"":55.216552734375}"
1778635754.4598746,1.2374327182769775,13,373,17,"absolute_ping_millis,amps,button,client_server_ping,cpu_temp,follow_mode,local_controller,m1,m2,mag_x,mag_y,mag_z",0.1000669002532959,"{""m1"":[0],""m2"":[0],""button"":[0],""local_controller"":[false],""pitch"":[0.018309365],""rotation"":[-0.403484411],""mag_x"":[-5178],""mag_y"":[-861],""mag_z"":[-2455],""volts"":[12.70424802],""amps"":[0.394072266],""pcb_temp"":[24.20058823],""follow_mode"":false,""cpu_temp"":45.2,""absolute_ping_millis"":1778635754332.614,""robot_server_ping"":144.634033203125,""client_server_ping"":54.877685546875}"
1778635754.5600188,1.3375768661499023,14,371,17,"absolute_ping_millis,amps,button,client_server_ping,cpu_temp,follow_mode,local_controller,m1,m2,mag_x,mag_y,mag_z",0.1001441478729248,"{""m1"":[0],""m2"":[0],""button"":[0],""local_controller"":[false],""pitch"":[0.018274778],""rotation"":[-0.40397575],""mag_x"":[-5181],""mag_y"":[-842],""mag_z"":[-2465],""volts"":[12.73421872],""amps"":[0.317749023],""pcb_temp"":[24.20058823],""follow_mode"":false,""cpu_temp"":45.2,""absolute_ping_millis"":1778635754434.214,""robot_server_ping"":144.48583984375,""client_server_ping"":84.946044921875}"
1778635754.6596744,1.437232494354248,15,370,17,"absolute_ping_millis,amps,button,client_server_ping,cpu_temp,follow_mode,local_controller,m1,m2,mag_x,mag_y,mag_z",0.0996556282043457,"{""m1"":[0],""m2"":[0],""button"":[0],""local_controller"":[false],""pitch"":[0.018295588],""rotation"":[-0.404250863],""mag_x"":[-5193],""mag_y"":[-852],""mag_z"":[-2450],""volts"":[12.62765622],""amps"":[0.381611328],""pcb_temp"":[24.20058823],""follow_mode"":false,""cpu_temp"":45.2,""absolute_ping_millis"":1778635754547.8433,""robot_server_ping"":152.21484375,""client_server_ping"":57.936767578125}"
1778635754.7598252,1.5373833179473877,16,374,17,"absolute_ping_millis,amps,button,client_server_ping,cpu_temp,follow_mode,local_controller,m1,m2,mag_x,mag_y,mag_z",0.10015082359313965,"{""m1"":[0],""m2"":[0],""button"":[0],""local_controller"":[false],""pitch"":[0.018292401],""rotation"":[-0.404675713],""mag_x"":[-5193],""mag_y"":[-858],""mag_z"":[-2445],""volts"":[12.61100583],""amps"":[0.403417969],""pcb_temp"":[24.10647011],""follow_mode"":false,""cpu_temp"":44.65,""absolute_ping_millis"":1778635754636.0305,""robot_server_ping"":141.579345703125,""client_server_ping"":65.58837890625}"
1778635754.8598437,1.637401819229126,17,369,17,"absolute_ping_millis,amps,button,client_server_ping,cpu_temp,follow_mode,local_controller,m1,m2,mag_x,mag_y,mag_z",0.10001850128173828,"{""m1"":[0],""m2"":[0],""button"":[0],""local_controller"":[false],""pitch"":[0.0183302],""rotation"":[-0.405120274],""mag_x"":[-5176],""mag_y"":[-873],""mag_z"":[-2460],""volts"":[12.58769528],""amps"":[0.412763672],""pcb_temp"":[24.059412],""follow_mode"":false,""cpu_temp"":44.65,""absolute_ping_millis"":1778635754738.8723,""robot_server_ping"":142.920166015625,""client_server_ping"":100.646484375}"
1778635754.960226,1.7377841472625732,18,373,17,"absolute_ping_millis,amps,button,client_server_ping,cpu_temp,follow_mode,local_controller,m1,m2,mag_x,mag_y,mag_z",0.10038232803344727,"{""m1"":[0],""m2"":[0],""button"":[0],""local_controller"":[false],""pitch"":[0.018307637],""rotation"":[-0.40558988],""mag_x"":[-5193],""mag_y"":[-853],""mag_z"":[-2435],""volts"":[12.53108395],""amps"":[0.591889648],""pcb_temp"":[24.10647011],""follow_mode"":false,""cpu_temp"":45.2,""absolute_ping_millis"":1778635754842.8806,""robot_server_ping"":144.573486328125,""client_server_ping"":59.758544921875}"
1778635755.0598183,1.837376356124878,19,374,17,"absolute_ping_millis,amps,button,client_server_ping,cpu_temp,follow_mode,local_controller,m1,m2,mag_x,mag_y,mag_z",0.09959220886230469,"{""m1"":[0],""m2"":[0],""button"":[0],""local_controller"":[false],""pitch"":[0.018292229],""rotation"":[-0.405978942],""mag_x"":[-5198],""mag_y"":[-853],""mag_z"":[-2450],""volts"":[12.72422849],""amps"":[0.367592773],""pcb_temp"":[24.15353012],""follow_mode"":false,""cpu_temp"":45.2,""absolute_ping_millis"":1778635754943.1204,""robot_server_ping"":141.427978515625,""client_server_ping"":95.429443359375}"
1778635755.159843,1.9374010562896729,20,373,17,"absolute_ping_millis,amps,button,client_server_ping,cpu_temp,follow_mode,local_controller,m1,m2,mag_x,mag_y,mag_z",0.10002470016479492,"{""m1"":[0],""m2"":[0],""button"":[0],""local_controller"":[false],""pitch"":[0.018195644],""rotation"":[-0.406353044],""mag_x"":[-5168],""mag_y"":[-845],""mag_z"":[-2437],""volts"":[12.59102536],""amps"":[0.465722656],""pcb_temp"":[24.24764633],""follow_mode"":false,""cpu_temp"":45.2,""absolute_ping_millis"":1778635755047.9321,""robot_server_ping"":150.64892578125,""client_server_ping"":62.311279296875}"
