timestamp,elapsed_sec,seq,linear_x,angular_z,dt_since_previous_sec
1778642036.0353196,0.0366063117980957,1,0.0,0.0,
1778642036.0874934,0.08878016471862793,2,0.0,0.0,0.05217385292053223
1778642036.142308,0.14359474182128906,3,0.0,0.0,0.05481457710266113
1778642036.1865623,0.1878490447998047,4,0.0,0.0,0.044254302978515625
1778642036.2416117,0.24289846420288086,5,0.0,0.0,0.05504941940307617
1778642036.286029,0.28731584548950195,6,0.0,0.0,0.044417381286621094
1778642036.3414428,0.3427295684814453,7,0.0,0.0,0.05541372299194336
1778642036.3931048,0.3943915367126465,8,0.0,0.0,0.05166196823120117
1778642036.4370925,0.43837928771972656,9,0.0,0.0,0.04398775100708008
1778642036.4920127,0.4932994842529297,10,0.0,0.0,0.054920196533203125
1778642036.5358906,0.537177324295044,11,0.0,0.0,0.04387784004211426
1778642036.5909865,0.5922732353210449,12,0.0,0.0,0.05509591102600098
1778642036.6465592,0.647845983505249,13,0.0,0.0,0.0555727481842041
1778642036.6908674,0.6921541690826416,14,0.0,0.0,0.04430818557739258
1778642036.7465858,0.7478725910186768,15,0.0,0.0,0.055718421936035156
1778642036.7906225,0.7919092178344727,16,0.0,0.0,0.0440366268157959
1778642036.8460848,0.8473715782165527,17,0.0,0.0,0.05546236038208008
1778642036.8908334,0.8921201229095459,18,0.0,0.0,0.044748544692993164
1778642036.9472072,0.9484939575195312,19,0.0,0.0,0.05637383460998535
1778642036.9922876,0.9935743808746338,20,0.0,0.0,0.04508042335510254
1778642037.0370939,1.0383806228637695,21,0.0,0.0,0.04480624198913574
1778642037.093628,1.0949146747589111,22,0.0,0.0,0.0565340518951416
1778642037.1383314,1.139618158340454,23,0.0,0.0,0.04470348358154297
1778642037.1939044,1.1951911449432373,24,0.0,0.0,0.0555729866027832
1778642037.2385588,1.2398455142974854,25,0.0,0.0,0.04465436935424805
1778642037.2943208,1.295607566833496,26,0.0,0.0,0.05576205253601074
1778642037.3405614,1.3418481349945068,27,0.0,0.0,0.04624056816101074
1778642037.3965392,1.3978259563446045,28,0.0,0.0,0.055977821350097656
1778642037.4408188,1.4421055316925049,29,0.0,0.0,0.04427957534790039
1778642037.4967406,1.4980273246765137,30,0.0,0.0,0.05592179298400879
1778642037.5414655,1.5427522659301758,31,0.0,0.0,0.04472494125366211
1778642037.5859983,1.587285041809082,32,0.0,0.0,0.04453277587890625
1778642037.641869,1.643155813217163,33,0.0,0.0,0.055870771408081055
1778642037.686538,1.6878247261047363,34,0.0,0.0,0.04466891288757324
1778642037.7421346,1.7434213161468506,35,0.0,0.0,0.05559659004211426
1778642037.7874506,1.7887372970581055,36,0.0,0.0,0.04531598091125488
1778642037.8434052,1.8446919918060303,37,0.0,0.0,0.055954694747924805
1778642037.8879447,1.8892314434051514,38,0.0,0.0,0.044539451599121094
1778642037.9443057,1.9455924034118652,39,0.0,0.0,0.05636096000671387
1778642037.988701,1.989987850189209,40,0.0,0.0,0.04439544677734375
1778642038.0450053,2.0462920665740967,41,0.0,0.0,0.056304216384887695
1778642038.0899284,2.091215133666992,42,0.0,0.0,0.04492306709289551
1778642038.1457026,2.146989345550537,43,0.0,0.0,0.05577421188354492
1778642038.1902807,2.1915674209594727,44,0.0,0.0,0.04457807540893555
1778642038.2463784,2.2476651668548584,45,0.0,0.0,0.05609774589538574
1778642038.2908764,2.292163133621216,46,0.0,0.0,0.04449796676635742
1778642038.3470323,2.3483190536499023,47,0.0,0.0,0.05615592002868652
1778642038.3911684,2.3924551010131836,48,0.0,0.0,0.04413604736328125
1778642038.4363527,2.4376394748687744,49,0.0,0.0,0.04518437385559082
1778642038.4921148,2.493401527404785,50,0.0,0.0,0.05576205253601074
1778642038.5374677,2.538754463195801,51,0.0,0.0,0.045352935791015625
1778642038.593522,2.59480881690979,52,0.0,0.0,0.05605435371398926
1778642038.638779,2.6400656700134277,53,0.0,0.0,0.045256853103637695
1778642038.6953804,2.696667194366455,54,0.0,0.0,0.056601524353027344
1778642038.7413225,2.7426092624664307,55,0.0,0.0,0.045942068099975586
1778642038.7966204,2.7979071140289307,56,0.0,0.0,0.0552978515625
1778642038.841223,2.8425097465515137,57,0.0,0.0,0.04460263252258301
1778642038.8857632,2.887049913406372,58,0.0,0.0,0.0445401668548584
1778642038.9414856,2.942772388458252,59,0.0,0.0,0.05572247505187988
1778642038.9862537,2.9875404834747314,60,0.0,0.0,0.04476809501647949
1778642039.0418823,3.0431690216064453,61,0.0,0.0,0.05562853813171387
1778642039.0864353,3.087722063064575,62,0.0,0.0,0.04455304145812988
1778642039.142191,3.14347767829895,63,0.0,0.0,0.055755615234375
1778642039.1871774,3.1884641647338867,64,0.0,0.0,0.04498648643493652
1778642039.2430143,3.2443010807037354,65,0.0,0.0,0.05583691596984863
1778642039.2874682,3.288754940032959,66,0.0,0.0,0.04445385932922363
1778642039.3422766,3.3435633182525635,67,0.0,0.0,0.05480837821960449
1778642039.385945,3.3872318267822266,68,0.0,0.0,0.043668508529663086
1778642039.4417222,3.4430088996887207,69,0.0,0.0,0.05577707290649414
1778642039.4871345,3.4884212017059326,70,0.0,0.0,0.045412302017211914
1778642039.539092,3.5403788089752197,71,0.0,0.0,0.05195760726928711
1778642039.5911214,3.5924081802368164,72,0.0,0.0,0.05202937126159668
1778642039.6429372,3.644223928451538,73,0.0,0.0,0.05181574821472168
1778642039.684712,3.6859986782073975,74,0.0,0.0,0.041774749755859375
1778642039.7368872,3.7381739616394043,75,0.0,0.0,0.052175283432006836
1778642039.7907429,3.792029619216919,76,0.0,0.0,0.05385565757751465
1778642039.844445,3.845731735229492,77,0.0,0.0,0.05370211601257324
1778642039.8874269,3.8887135982513428,78,0.0,0.0,0.042981863021850586
1778642039.941791,3.943077802658081,79,0.0,0.0,0.05436420440673828
1778642039.9872026,3.9884893894195557,80,0.0,0.0,0.04541158676147461
1778642040.0426996,4.0439863204956055,81,0.0,0.0,0.055496931076049805
1778642040.0869794,4.088266134262085,82,0.0,0.0,0.04427981376647949
1778642040.1429167,4.144203424453735,83,0.0,0.0,0.05593729019165039
1778642040.1876433,4.188930034637451,84,0.0,0.0,0.04472661018371582
1778642040.2446985,4.245985269546509,85,0.0,0.0,0.05705523490905762
1778642040.28941,4.290696859359741,86,0.0,0.0,0.04471158981323242
1778642040.345269,4.346555709838867,87,0.0,0.0,0.05585885047912598
1778642040.390054,4.391340732574463,88,0.0,0.0,0.0447850227355957
1778642040.4460807,4.447367429733276,89,0.0,0.0,0.05602669715881348
1778642040.491691,4.492977857589722,90,0.0,0.0,0.04561042785644531
1778642040.536778,4.53806471824646,91,0.0,0.0,0.04508686065673828
1778642040.5923574,4.593644142150879,92,0.0,0.0,0.055579423904418945
1778642040.6371267,4.638413429260254,93,0.0,0.0,0.044769287109375
1778642040.6924896,4.693776369094849,94,0.0,0.0,0.05536293983459473
1778642040.7370124,4.738299131393433,95,0.0,0.0,0.044522762298583984
1778642040.7927063,4.79399299621582,96,0.0,0.0,0.055693864822387695
1778642040.8380609,4.83934760093689,97,0.0,0.0,0.045354604721069336
1778642040.8940763,4.895363092422485,98,0.0,0.0,0.0560154914855957
1778642040.9383318,4.9396185874938965,99,0.0,0.0,0.04425549507141113
1778642040.9942844,4.995571136474609,100,0.0,0.0,0.05595254898071289
1778642041.0388715,5.040158271789551,101,0.0,0.0,0.044587135314941406
1778642041.095318,5.096604824066162,102,0.0,0.0,0.05644655227661133
1778642041.1396236,5.140910387039185,103,0.0,0.0,0.04430556297302246
1778642041.1957543,5.197041034698486,104,0.0,0.0,0.05613064765930176
1778642041.2404587,5.241745471954346,105,0.0,0.0,0.044704437255859375
1778642041.2959404,5.297227144241333,106,0.0,0.0,0.055481672286987305
1778642041.3404853,5.341772079467773,107,0.0,0.0,0.04454493522644043
1778642041.396702,5.397988796234131,108,0.0,0.0,0.05621671676635742
1778642041.437808,5.43909478187561,109,0.0,0.0,0.04110598564147949
1778642041.4919996,5.493286371231079,110,0.0,0.0,0.05419158935546875
1778642041.5374978,5.538784503936768,111,0.0,0.0,0.04549813270568848
1778642041.5926847,5.593971490859985,112,0.0,0.0,0.05518698692321777
1778642041.6380937,5.63938045501709,113,0.0,0.0,0.04540896415710449
1778642041.690236,5.691522836685181,114,0.0,0.0,0.05214238166809082
1778642041.7423415,5.743628263473511,115,0.0,0.0,0.05210542678833008
1778642041.794725,5.796011686325073,116,0.0,0.0,0.0523834228515625
1778642041.8362415,5.837528228759766,117,0.0,0.0,0.04151654243469238
1778642041.8888893,5.890176057815552,118,0.0,0.0,0.05264782905578613
1778642041.9457893,5.947076082229614,119,0.0,0.0,0.0569000244140625
1778642041.9903796,5.991666316986084,120,0.0,0.0,0.04459023475646973
1778642042.0472536,6.048540353775024,121,0.0,0.0,0.05687403678894043
1778642042.0924344,6.093721151351929,122,0.0,0.0,0.0451807975769043
1778642042.137262,6.138548851013184,123,0.0,0.0,0.04482769966125488
1778642042.1934109,6.194697618484497,124,0.0,0.0,0.05614876747131348
1778642042.2386665,6.239953279495239,125,0.0,0.0,0.04525566101074219
1778642042.2945054,6.295792102813721,126,0.0,0.0,0.055838823318481445
1778642042.3394704,6.340757131576538,127,0.0,0.0,0.04496502876281738
1778642042.3954782,6.3967649936676025,128,0.0,0.0,0.05600786209106445
1778642042.4396448,6.440931558609009,129,0.0,0.0,0.04416656494140625
1778642042.4950378,6.49632453918457,130,0.0,0.0,0.05539298057556152
1778642042.5397503,6.541037082672119,131,0.0,0.0,0.04471254348754883
1778642042.5959253,6.597212076187134,132,0.0,0.0,0.05617499351501465
1778642042.6403837,6.64167046546936,133,0.0,0.0,0.04445838928222656
1778642042.6976507,6.69893741607666,134,0.0,0.0,0.057266950607299805
1778642042.7443576,6.7456443309783936,135,0.0,0.0,0.0467069149017334
1778642042.790208,6.791494846343994,136,0.0,0.0,0.045850515365600586
1778642042.8467991,6.848085880279541,137,0.0,0.0,0.056591033935546875
1778642042.8915129,6.892799615859985,138,0.0,0.0,0.044713735580444336
1778642042.9369805,6.938267230987549,139,0.0,0.0,0.04546761512756348
1778642042.993354,6.994640827178955,140,0.0,0.0,0.05637359619140625
1778642043.0384698,7.039756536483765,141,0.0,0.0,0.04511570930480957
1778642043.094806,7.096092700958252,142,0.0,0.0,0.056336164474487305
1778642043.1390686,7.140355348587036,143,0.0,0.0,0.04426264762878418
1778642043.1949859,7.196272611618042,144,0.0,0.0,0.05591726303100586
1778642043.239509,7.240795850753784,145,0.0,0.0,0.04452323913574219
1778642043.2952778,7.29656457901001,146,0.0,0.0,0.055768728256225586
1778642043.3406386,7.341925382614136,147,0.0,0.0,0.04536080360412598
1778642043.3970988,7.398385524749756,148,0.0,0.0,0.05646014213562012
1778642043.4412482,7.442534923553467,149,0.0,0.0,0.04414939880371094
1778642043.4967203,7.49800705909729,150,0.0,0.0,0.05547213554382324
1778642043.5415547,7.54284143447876,151,0.0,0.0,0.04483437538146973
1778642043.5858934,7.587180137634277,152,0.0,0.0,0.04433870315551758
1778642043.640898,7.642184734344482,153,0.0,0.0,0.05500459671020508
1778642043.6937194,7.6950061321258545,154,0.0,0.0,0.05282139778137207
1778642043.7389092,7.740195989608765,155,0.0,0.0,0.045189857482910156
1778642043.7959697,7.7972564697265625,156,0.0,0.0,0.05706048011779785
1778642043.8402238,7.841510534286499,157,0.0,0.0,0.04425406455993652
1778642043.8958645,7.897151231765747,158,0.0,0.0,0.05564069747924805
1778642043.940569,7.9418556690216064,159,0.0,0.0,0.044704437255859375
1778642043.997024,7.998310804367065,160,0.0,0.0,0.056455135345458984
1778642044.0423312,8.043617963790894,161,0.0,0.0,0.045307159423828125
1778642044.0886528,8.089939594268799,162,0.0,0.0,0.04632163047790527
1778642044.1445708,8.145857572555542,163,0.0,0.0,0.055917978286743164
1778642044.1912017,8.192488431930542,164,0.0,0.0,0.046630859375
1778642044.2373154,8.23860216140747,165,0.0,0.0,0.04611372947692871
1778642044.2938,8.295086860656738,166,0.0,0.0,0.05648469924926758
1778642044.3399632,8.341249942779541,167,0.0,0.0,0.046163082122802734
1778642044.3972173,8.39850401878357,168,0.0,0.0,0.05725407600402832
1778642044.442727,8.444013833999634,169,0.0,0.0,0.04550981521606445
1778642044.4895399,8.490826606750488,170,0.0,0.0,0.04681277275085449
1778642044.5473502,8.54863691329956,171,0.0,0.0,0.057810306549072266
1778642044.5921667,8.593453407287598,172,0.0,0.0,0.04481649398803711
1778642044.6387491,8.64003586769104,173,0.0,0.0,0.04658246040344238
1778642044.695784,8.697070837020874,174,0.0,0.0,0.057034969329833984
1778642044.7398465,8.741133213043213,175,0.0,0.0,0.04406237602233887
1778642044.795567,8.79685378074646,176,0.0,0.0,0.05572056770324707
1778642044.8401315,8.841418266296387,177,0.0,0.0,0.04456448554992676
1778642044.896273,8.897559642791748,178,0.0,0.0,0.05614137649536133
1778642044.9421668,8.943453550338745,179,0.3,0.0,0.04589390754699707
1778642044.9859035,8.987190246582031,180,0.3,0.0,0.04373669624328613
1778642045.0421271,9.043413877487183,181,0.3,0.0,0.05622363090515137
1778642045.0865273,9.087814092636108,182,0.3,0.0,0.04440021514892578
1778642045.1424186,9.143705368041992,183,0.0,0.0,0.05589127540588379
1778642045.1872685,9.188555240631104,184,0.0,0.0,0.04484987258911133
1778642045.242674,9.243960857391357,185,0.0,0.0,0.055405616760253906
1778642045.2953875,9.296674251556396,186,0.0,0.0,0.05271339416503906
1778642045.3397937,9.3410804271698,187,0.0,0.0,0.04440617561340332
1778642045.394019,9.395305633544922,188,0.0,0.0,0.05422520637512207
1778642045.4386375,9.439924240112305,189,0.3,0.0,0.04461860656738281
1778642045.4944656,9.495752334594727,190,0.3,0.0,0.055828094482421875
1778642045.5393143,9.540601015090942,191,0.3,0.0,0.04484868049621582
1778642045.5954695,9.596756219863892,192,0.3,0.0,0.05615520477294922
1778642045.639986,9.641272783279419,193,0.0,0.0,0.044516563415527344
1778642045.6958623,9.69714903831482,194,0.0,0.0,0.05587625503540039
1778642045.7406635,9.741950273513794,195,0.0,0.0,0.04480123519897461
1778642045.7971573,9.798444032669067,196,0.0,0.0,0.05649375915527344
1778642045.8425188,9.84380555152893,197,0.0,0.0,0.04536151885986328
1778642045.888167,9.889453649520874,198,0.0,0.0,0.04564809799194336
1778642045.9434774,9.944764137268066,199,0.0,0.0,0.05531048774719238
1778642045.9885252,9.989811897277832,200,0.0,0.0,0.045047760009765625
1778642046.044883,10.046169757843018,201,0.0,0.0,0.05635786056518555
1778642046.0905375,10.091824293136597,202,0.3,0.0,0.0456545352935791
1778642046.1465654,10.147852182388306,203,0.3,0.0,0.056027889251708984
1778642046.1906168,10.191903591156006,204,0.3,0.0,0.044051408767700195
1778642046.2469366,10.248223304748535,205,0.0,0.0,0.0563197135925293
1778642046.291715,10.293001651763916,206,0.0,0.0,0.04477834701538086
1778642046.3370597,10.338346481323242,207,0.0,0.0,0.04534482955932617
1778642046.393349,10.394635677337646,208,0.0,0.0,0.0562891960144043
1778642046.4385743,10.439861059188843,209,0.0,0.0,0.04522538185119629
1778642046.4925706,10.493857383728027,210,0.0,0.0,0.05399632453918457
1778642046.5452719,10.546558618545532,211,0.0,0.0,0.05270123481750488
1778642046.590397,10.591683626174927,212,0.0,0.0,0.04512500762939453
1778642046.6462033,10.64749002456665,213,0.0,0.0,0.05580639839172363
1778642046.6906965,10.691983222961426,214,0.0,0.0,0.04449319839477539
1778642046.7458498,10.74713659286499,215,0.0,0.0,0.05515336990356445
1778642046.7875898,10.7888765335083,216,0.0,0.0,0.04173994064331055
1778642046.8398454,10.841132164001465,217,0.0,0.0,0.05225563049316406
1778642046.8918078,10.893094539642334,218,0.0,0.0,0.05196237564086914
1778642046.9441888,10.945475578308105,219,0.0,0.0,0.052381038665771484
1778642046.9860096,10.987296342849731,220,0.0,0.0,0.04182076454162598
1778642047.0384452,11.039731979370117,221,0.0,0.0,0.05243563652038574
1778642047.091211,11.092497825622559,222,0.0,0.0,0.052765846252441406
1778642047.1435347,11.144821405410767,223,0.0,0.0,0.05232357978820801
1778642047.1852634,11.18655014038086,224,0.0,0.0,0.04172873497009277
1778642047.2375734,11.238860130310059,225,0.0,0.0,0.05230998992919922
1778642047.2898765,11.291163206100464,226,0.0,0.0,0.05230307579040527
1778642047.3421664,11.343453168869019,227,0.3,0.0,0.05228996276855469
1778642047.394592,11.395878791809082,228,0.3,0.0,0.05242562294006348
1778642047.4365683,11.437855005264282,229,0.3,0.0,0.041976213455200195
1778642047.488869,11.490155696868896,230,0.3,0.0,0.05230069160461426
1778642047.5433877,11.544674396514893,231,0.0,0.0,0.054518699645996094
1778642047.5852885,11.586575269699097,232,0.0,0.0,0.0419008731842041
1778642047.637298,11.638584852218628,233,0.0,0.0,0.05200958251953125
1778642047.6901937,11.6914803981781,234,0.0,0.0,0.052895545959472656
1778642047.7428448,11.744131565093994,235,0.0,0.0,0.052651166915893555
1778642047.7847745,11.78606128692627,236,0.0,0.0,0.04192972183227539
1778642047.8372688,11.838555574417114,237,0.3,0.0,0.05249428749084473
1778642047.890212,11.891498804092407,238,0.3,0.0,0.05294322967529297
1778642047.9424112,11.943697929382324,239,0.3,0.0,0.05219912528991699
1778642047.995017,11.996303796768188,240,0.3,0.0,0.05260586738586426
1778642048.039894,12.041180849075317,241,0.3,0.0,0.044877052307128906
1778642048.0918036,12.093090295791626,242,0.3,0.0,0.051909446716308594
1778642048.1440744,12.145361185073853,243,0.3,0.0,0.05227088928222656
1778642048.1857536,12.187040328979492,244,0.3,0.0,0.04167914390563965
1778642048.237906,12.239192724227905,245,0.3,0.0,0.052152395248413086
1778642048.2901356,12.291422367095947,246,0.3,0.0,0.05222964286804199
1778642048.3441274,12.345414161682129,247,0.3,0.0,0.05399179458618164
1778642048.3863437,12.387630462646484,248,0.3,0.0,0.04221630096435547
1778642048.438329,12.439615726470947,249,0.3,0.0,0.05198526382446289
1778642048.4901338,12.49142050743103,250,0.3,0.0,0.05180478096008301
1778642048.5422096,12.543496370315552,251,0.3,0.0,0.052075862884521484
1778642048.59411,12.595396757125854,252,0.0,-1.0,0.051900386810302734
1778642048.6356034,12.636890172958374,253,0.0,-1.0,0.04149341583251953
1778642048.6876717,12.688958406448364,254,0.0,-1.0,0.052068233489990234
1778642048.740051,12.741337776184082,255,0.0,0.0,0.05237936973571777
1778642048.7925017,12.793788433074951,256,0.0,0.0,0.05245065689086914
1778642048.8374279,12.838714599609375,257,0.0,0.0,0.04492616653442383
1778642048.8896012,12.890887975692749,258,0.0,0.0,0.05217337608337402
1778642048.9419787,12.943265438079834,259,0.0,0.0,0.05237746238708496
1778642048.9940517,12.995338439941406,260,0.0,0.0,0.052073001861572266
1778642049.0357966,13.037083387374878,261,0.0,0.0,0.04174494743347168
1778642049.0881536,13.08944034576416,262,0.0,-1.0,0.05235695838928223
1778642049.1407094,13.141996145248413,263,0.0,-1.0,0.05255579948425293
1778642049.1928916,13.194178342819214,264,0.0,-1.0,0.05218219757080078
1778642049.2474782,13.248764991760254,265,0.0,-1.0,0.05458664894104004
1778642049.2867522,13.288038969039917,266,0.0,-1.0,0.039273977279663086
1778642049.339689,13.340975761413574,267,0.0,0.0,0.05293679237365723
1778642049.3918986,13.393185377120972,268,0.0,0.0,0.05220961570739746
1778642049.4443643,13.445651054382324,269,0.0,0.0,0.05246567726135254
1778642049.4860744,13.487361192703247,270,0.0,-1.0,0.04171013832092285
1778642049.5386338,13.539920568466187,271,0.0,-1.0,0.05255937576293945
1778642049.5912619,13.592548608779907,272,0.0,-1.0,0.0526280403137207
1778642049.6435769,13.644863605499268,273,0.0,-1.0,0.05231499671936035
1778642049.6851711,13.686457872390747,274,0.0,0.0,0.04159426689147949
1778642049.737748,13.739034652709961,275,0.0,0.0,0.05257678031921387
1778642049.7903607,13.79164743423462,276,0.0,0.0,0.0526127815246582
1778642049.8426058,13.843892574310303,277,0.0,0.0,0.052245140075683594
1778642049.8948572,13.896143913269043,278,0.0,0.0,0.052251338958740234
1778642049.9366307,13.937917470932007,279,0.0,0.0,0.04177355766296387
1778642049.9890778,13.99036455154419,280,0.0,-1.0,0.05244708061218262
1778642050.0413187,14.04260540008545,281,0.0,-1.0,0.052240848541259766
1778642050.0933988,14.094685554504395,282,0.0,-1.0,0.05208015441894531
1778642050.135564,14.136850833892822,283,0.0,-1.0,0.042165279388427734
1778642050.1881552,14.189441919326782,284,0.0,-1.0,0.05259108543395996
1778642050.2405553,14.241842031478882,285,0.0,-1.0,0.05240011215209961
1778642050.2926674,14.293954133987427,286,0.0,-1.0,0.05211210250854492
1778642050.3449154,14.34620213508606,287,0.0,-1.0,0.05224800109863281
1778642050.3866036,14.387890338897705,288,0.0,-1.0,0.04168820381164551
1778642050.4390252,14.440311908721924,289,0.0,-1.0,0.05242156982421875
1778642050.4916034,14.492890119552612,290,0.0,-1.0,0.05257821083068848
1778642050.544073,14.54535984992981,291,0.0,-1.0,0.052469730377197266
