timestamp,elapsed_sec,seq,payload_size_bytes,format,dt_since_previous_sec
1778642046.7340002,10.735286951065063,1,14578,jpeg,
1778642046.768445,10.769731760025024,2,14606,jpeg,0.03444480895996094
1778642046.8055997,10.806886434555054,3,14636,jpeg,0.0371546745300293
1778642046.8603828,10.861669540405273,4,14615,jpeg,0.05478310585021973
1778642046.9157627,10.917049407958984,5,14628,jpeg,0.05537986755371094
1778642046.9599457,10.961232423782349,6,14651,jpeg,0.04418301582336426
1778642047.011879,11.013165712356567,7,13964,jpeg,0.05193328857421875
1778642047.0669389,11.068225622177124,8,12145,jpeg,0.05505990982055664
1778642047.1106017,11.111888408660889,9,12858,jpeg,0.04366278648376465
1778642047.1577032,11.158989906311035,10,13267,jpeg,0.047101497650146484
1778642047.2125063,11.2137930393219,11,13222,jpeg,0.05480313301086426
1778642047.2546258,11.25591254234314,12,13149,jpeg,0.042119503021240234
1778642047.3108194,11.312106132507324,13,13146,jpeg,0.05619359016418457
1778642047.362525,11.363811731338501,14,13151,jpeg,0.05170559883117676
1778642047.4074476,11.408734321594238,15,13137,jpeg,0.044922590255737305
1778642047.463768,11.465054750442505,16,13159,jpeg,0.0563204288482666
1778642047.5259368,11.527223587036133,17,13169,jpeg,0.06216883659362793
1778642047.5665636,11.567850351333618,18,13155,jpeg,0.04062676429748535
1778642047.6062489,11.607535600662231,19,13150,jpeg,0.03968524932861328
1778642047.6673112,11.668597936630249,20,13164,jpeg,0.06106233596801758
1778642047.7177925,11.71907925605774,21,13144,jpeg,0.050481319427490234
1778642047.7595034,11.7607901096344,22,13142,jpeg,0.041710853576660156
1778642047.8164256,11.817712306976318,23,13170,jpeg,0.056922197341918945
1778642047.8698578,11.871144533157349,24,12950,jpeg,0.05343222618103027
1778642047.9094508,11.91073751449585,25,11794,jpeg,0.03959298133850098
1778642047.9653406,11.966627359390259,26,12041,jpeg,0.05588984489440918
1778642048.010937,12.012223720550537,27,12308,jpeg,0.04559636116027832
1778642048.0659513,12.067238092422485,28,12327,jpeg,0.05501437187194824
1778642048.1038904,12.105177164077759,29,12406,jpeg,0.03793907165527344
1778642048.1535947,12.154881477355957,30,12245,jpeg,0.04970431327819824
1778642048.208876,12.21016263961792,31,12322,jpeg,0.05528116226196289
1778642048.2577171,12.25900387763977,32,12705,jpeg,0.048841238021850586
1778642048.3097775,12.31106424331665,33,12198,jpeg,0.05206036567687988
1778642048.3652463,12.366533041000366,34,12286,jpeg,0.05546879768371582
1778642048.4148836,12.416170358657837,35,12492,jpeg,0.0496373176574707
1778642048.4584339,12.459720611572266,36,12361,jpeg,0.04355025291442871
1778642048.5081892,12.509475946426392,37,12520,jpeg,0.04975533485412598
1778642048.5664077,12.567694425582886,38,13083,jpeg,0.05821847915649414
1778642048.6036131,12.604899883270264,39,12937,jpeg,0.03720545768737793
1778642048.6585734,12.659860134124756,40,13529,jpeg,0.05496025085449219
1778642048.7091825,12.710469245910645,41,12927,jpeg,0.05060911178588867
1778642048.7582061,12.759492874145508,42,13581,jpeg,0.04902362823486328
1778642048.8089962,12.810282945632935,43,13415,jpeg,0.05079007148742676
1778642048.861627,12.862913846969604,44,12825,jpeg,0.05263090133666992
1778642048.9074059,12.908692598342896,45,13737,jpeg,0.045778751373291016
1778642048.960334,12.961620807647705,46,13126,jpeg,0.05292820930480957
1778642049.00432,13.005606651306152,47,13507,jpeg,0.043985843658447266
1778642049.0565634,13.057850122451782,48,13487,jpeg,0.05224347114562988
1778642049.1058688,13.107155561447144,49,13560,jpeg,0.04930543899536133
1778642049.1548073,13.156094074249268,50,12952,jpeg,0.04893851280212402
1778642049.214848,13.216134786605835,51,12407,jpeg,0.06004071235656738
1778642049.2557032,13.2569899559021,52,13161,jpeg,0.04085516929626465
1778642049.342372,13.343658685684204,53,12286,jpeg,0.08666872978210449
1778642049.365738,13.367024660110474,54,12367,jpeg,0.02336597442626953
1778642049.4071124,13.408399105072021,55,12260,jpeg,0.04137444496154785
1778642049.4653115,13.466598272323608,56,12329,jpeg,0.058199167251586914
1778642049.5184588,13.519745588302612,57,12011,jpeg,0.053147315979003906
1778642049.5590928,13.56037950515747,58,11933,jpeg,0.0406339168548584
1778642049.6150494,13.616336107254028,59,12446,jpeg,0.05595660209655762
1778642049.6574986,13.658785343170166,60,12246,jpeg,0.042449235916137695
1778642049.7083683,13.709655046463013,61,12641,jpeg,0.05086970329284668
1778642049.7585242,13.75981092453003,62,12529,jpeg,0.0501558780670166
1778642049.8068197,13.808106422424316,63,11868,jpeg,0.04829549789428711
1778642049.8628378,13.864124536514282,64,11869,jpeg,0.05601811408996582
1778642049.9089758,13.91026258468628,65,11836,jpeg,0.04613804817199707
