timestamp,elapsed_sec,seq,direction,payload_size_bytes,sample_rate,channels,encoding,samples_per_channel,dt_since_previous_sec
1778642046.9559906,10.957277297973633,1,rx,2730,16000,1,pcm_u8,2730,
1778642047.1240683,11.125355005264282,2,rx,2730,16000,1,pcm_u8,2730,0.16807770729064941
1778642047.297699,11.298985719680786,3,rx,2730,16000,1,pcm_u8,2730,0.1736307144165039
1778642047.4648967,11.466183423995972,4,rx,2730,16000,1,pcm_u8,2730,0.16719770431518555
1778642047.6352673,11.63655400276184,5,rx,2730,16000,1,pcm_u8,2730,0.17037057876586914
1778642047.816972,11.81825876235962,6,rx,2730,16000,1,pcm_u8,2730,0.18170475959777832
1778642047.9773176,11.978604316711426,7,rx,2730,16000,1,pcm_u8,2730,0.16034555435180664
1778642048.1489956,12.150282382965088,8,rx,2730,16000,1,pcm_u8,2730,0.1716780662536621
1778642048.3177853,12.319072008132935,9,rx,2730,16000,1,pcm_u8,2730,0.16878962516784668
1778642048.4886642,12.489950895309448,10,rx,2730,16000,1,pcm_u8,2730,0.17087888717651367
1778642048.660124,12.661410808563232,11,rx,2730,16000,1,pcm_u8,2730,0.17145991325378418
1778642048.8349733,12.836260080337524,12,rx,2730,16000,1,pcm_u8,2730,0.174849271774292
1778642049.005273,13.0065598487854,13,rx,2730,16000,1,pcm_u8,2730,0.17029976844787598
1778642049.1823466,13.18363332748413,14,rx,2730,16000,1,pcm_u8,2730,0.17707347869873047
1778642049.3442857,13.345572471618652,15,rx,2730,16000,1,pcm_u8,2730,0.16193914413452148
1778642049.5197687,13.521055459976196,16,rx,2730,16000,1,pcm_u8,2730,0.17548298835754395
1778642049.6922233,13.693510055541992,17,rx,2730,16000,1,pcm_u8,2730,0.1724545955657959
1778642049.8717647,13.873051404953003,18,rx,2730,16000,1,pcm_u8,2730,0.17954134941101074
1778642050.028818,14.030104637145996,19,rx,2730,16000,1,pcm_u8,2730,0.15705323219299316
1778642050.216181,14.217467784881592,20,rx,2730,16000,1,pcm_u8,2730,0.1873631477355957
1778642050.3713632,14.372649908065796,21,rx,2730,16000,1,pcm_u8,2730,0.1551821231842041
1778642050.546383,14.547669649124146,22,rx,2730,16000,1,pcm_u8,2730,0.1750197410583496
1778642050.7218313,14.72311806678772,23,rx,2730,16000,1,pcm_u8,2730,0.17544841766357422
1778642050.8914537,14.892740488052368,24,rx,2730,16000,1,pcm_u8,2730,0.16962242126464844
1778642051.0546064,15.055893182754517,25,rx,2730,16000,1,pcm_u8,2730,0.16315269470214844
1778642051.227392,15.228678703308105,26,rx,2730,16000,1,pcm_u8,2730,0.17278552055358887
1778642051.3947053,15.395992040634155,27,rx,2730,16000,1,pcm_u8,2730,0.1673133373260498
1778642051.5686955,15.569982290267944,28,rx,2730,16000,1,pcm_u8,2730,0.17399024963378906
1778642051.7373302,15.738616943359375,29,rx,2730,16000,1,pcm_u8,2730,0.16863465309143066
1778642051.9070036,15.908290386199951,30,rx,2730,16000,1,pcm_u8,2730,0.16967344284057617
1778642052.075865,16.077151775360107,31,rx,2730,16000,1,pcm_u8,2730,0.16886138916015625
1778642052.2532804,16.25456714630127,32,rx,2730,16000,1,pcm_u8,2730,0.1774153709411621
1778642052.42679,16.42807674407959,33,rx,2730,16000,1,pcm_u8,2730,0.1735095977783203
1778642052.588728,16.590014696121216,34,rx,2730,16000,1,pcm_u8,2730,0.16193795204162598
1778642052.7655308,16.766817569732666,35,rx,2730,16000,1,pcm_u8,2730,0.1768028736114502
1778642052.9424329,16.943719625473022,36,rx,2730,16000,1,pcm_u8,2730,0.17690205574035645
1778642053.1064591,17.107745885849,37,rx,2730,16000,1,pcm_u8,2730,0.16402626037597656
1778642053.2718737,17.273160457611084,38,rx,2730,16000,1,pcm_u8,2730,0.16541457176208496
1778642053.4518957,17.453182458877563,39,rx,2730,16000,1,pcm_u8,2730,0.1800220012664795
1778642053.6127968,17.614083528518677,40,rx,2730,16000,1,pcm_u8,2730,0.16090106964111328
1778642053.7838335,17.785120248794556,41,rx,2730,16000,1,pcm_u8,2730,0.1710367202758789
1778642053.9579754,17.959262132644653,42,rx,2730,16000,1,pcm_u8,2730,0.17414188385009766
1778642054.1272073,18.128494024276733,43,rx,2730,16000,1,pcm_u8,2730,0.16923189163208008
1778642054.2956047,18.296891450881958,44,rx,2730,16000,1,pcm_u8,2730,0.1683974266052246
1778642054.4673994,18.4686861038208,45,rx,2730,16000,1,pcm_u8,2730,0.17179465293884277
1778642054.636966,18.63825273513794,46,rx,2730,16000,1,pcm_u8,2730,0.16956663131713867
1778642054.8175356,18.818822383880615,47,rx,2730,16000,1,pcm_u8,2730,0.18056964874267578
1778642054.9839954,18.98528218269348,48,rx,2730,16000,1,pcm_u8,2730,0.1664597988128662
1778642055.1646235,19.165910243988037,49,rx,2730,16000,1,pcm_u8,2730,0.18062806129455566
1778642055.3201764,19.321463108062744,50,rx,2730,16000,1,pcm_u8,2730,0.15555286407470703
1778642055.4900286,19.491315364837646,51,rx,2730,16000,1,pcm_u8,2730,0.16985225677490234
1778642055.6609256,19.662212371826172,52,rx,2730,16000,1,pcm_u8,2730,0.1708970069885254
1778642055.8327122,19.833998918533325,53,rx,2730,16000,1,pcm_u8,2730,0.17178654670715332
1778642056.0070908,20.00837755203247,54,rx,2730,16000,1,pcm_u8,2730,0.1743786334991455
1778642056.1743424,20.175629138946533,55,rx,2730,16000,1,pcm_u8,2730,0.1672515869140625
1778642056.3435078,20.344794511795044,56,rx,2730,16000,1,pcm_u8,2730,0.16916537284851074
1778642056.514576,20.515862703323364,57,rx,2730,16000,1,pcm_u8,2730,0.1710681915283203
1778642056.6870253,20.68831205368042,58,rx,2730,16000,1,pcm_u8,2730,0.17244935035705566
1778642056.8558095,20.857096195220947,59,rx,2730,16000,1,pcm_u8,2730,0.16878414154052734
1778642057.026487,21.0277738571167,60,rx,2730,16000,1,pcm_u8,2730,0.17067766189575195
1778642057.2037323,21.205018997192383,61,rx,2730,16000,1,pcm_u8,2730,0.1772451400756836
1778642057.377494,21.378780841827393,62,rx,2730,16000,1,pcm_u8,2730,0.17376184463500977
1778642057.5378826,21.539169311523438,63,rx,2730,16000,1,pcm_u8,2730,0.16038846969604492
1778642057.7127478,21.71403455734253,64,rx,2730,16000,1,pcm_u8,2730,0.1748652458190918
1778642057.8944182,21.895704984664917,65,rx,2730,16000,1,pcm_u8,2730,0.1816704273223877
1778642058.0561888,22.057475566864014,66,rx,2730,16000,1,pcm_u8,2730,0.16177058219909668
1778642058.2209957,22.22228240966797,67,rx,2730,16000,1,pcm_u8,2730,0.16480684280395508
1778642058.4048212,22.406107902526855,68,rx,2730,16000,1,pcm_u8,2730,0.18382549285888672
1778642058.564688,22.565974712371826,69,rx,2730,16000,1,pcm_u8,2730,0.1598668098449707
1778642058.7325573,22.73384404182434,70,rx,2730,16000,1,pcm_u8,2730,0.16786932945251465
1778642058.9054623,22.90674901008606,71,rx,2730,16000,1,pcm_u8,2730,0.17290496826171875
1778642059.0776625,23.078949213027954,72,rx,2730,16000,1,pcm_u8,2730,0.17220020294189453
1778642059.265043,23.266329765319824,73,rx,2730,16000,1,pcm_u8,2730,0.18738055229187012
1778642059.4162943,23.41758108139038,74,rx,2730,16000,1,pcm_u8,2730,0.15125131607055664
1778642059.5866077,23.587894439697266,75,rx,2730,16000,1,pcm_u8,2730,0.17031335830688477
1778642059.770552,23.771838665008545,76,rx,2730,16000,1,pcm_u8,2730,0.1839442253112793
1778642059.934519,23.935805797576904,77,rx,2730,16000,1,pcm_u8,2730,0.16396713256835938
1778642060.1027248,24.10401153564453,78,rx,2730,16000,1,pcm_u8,2730,0.16820573806762695
1778642060.2712927,24.272579431533813,79,rx,2730,16000,1,pcm_u8,2730,0.16856789588928223
1778642060.4424806,24.443767309188843,80,rx,2730,16000,1,pcm_u8,2730,0.1711878776550293
1778642060.6100152,24.6113018989563,81,rx,2730,16000,1,pcm_u8,2730,0.16753458976745605
1778642060.7836058,24.784892559051514,82,rx,2730,16000,1,pcm_u8,2730,0.17359066009521484
1778642060.9697473,24.971034049987793,83,rx,2730,16000,1,pcm_u8,2730,0.1861414909362793
1778642061.1230037,25.124290466308594,84,rx,2730,16000,1,pcm_u8,2730,0.15325641632080078
1778642061.2943606,25.295647382736206,85,rx,2730,16000,1,pcm_u8,2730,0.1713569164276123
1778642061.4635592,25.464845895767212,86,rx,2730,16000,1,pcm_u8,2730,0.16919851303100586
1778642061.6354568,25.636743545532227,87,rx,2730,16000,1,pcm_u8,2730,0.17189764976501465
1778642061.9758568,25.97714352607727,88,rx,2730,16000,1,pcm_u8,2730,0.34039998054504395
1778642062.1476185,26.148905277252197,89,rx,2730,16000,1,pcm_u8,2730,0.17176175117492676
1778642062.5155525,26.516839265823364,90,rx,2730,16000,1,pcm_u8,2730,0.367933988571167
1778642062.665564,26.666850805282593,91,rx,2730,16000,1,pcm_u8,2730,0.15001153945922852
1778642062.8424828,26.843769550323486,92,rx,2730,16000,1,pcm_u8,2730,0.17691874504089355
1778642063.0038593,27.005146026611328,93,rx,2730,16000,1,pcm_u8,2730,0.1613764762878418
1778642063.1703267,27.171613454818726,94,rx,2730,16000,1,pcm_u8,2730,0.16646742820739746
1778642063.3497941,27.351080894470215,95,rx,2730,16000,1,pcm_u8,2730,0.17946743965148926
1778642063.5730507,27.574337482452393,96,rx,2730,16000,1,pcm_u8,2730,0.22325658798217773
1778642063.6842062,27.685492992401123,97,rx,2730,16000,1,pcm_u8,2730,0.11115550994873047
1778642063.855828,27.857114791870117,98,rx,2730,16000,1,pcm_u8,2730,0.17162179946899414
1778642064.0538986,28.055185317993164,99,rx,2730,16000,1,pcm_u8,2730,0.19807052612304688
1778642064.213948,28.215234756469727,100,rx,2730,16000,1,pcm_u8,2730,0.1600494384765625
1778642064.365563,28.366849660873413,101,rx,2730,16000,1,pcm_u8,2730,0.15161490440368652
1778642064.540392,28.54167866706848,102,rx,2730,16000,1,pcm_u8,2730,0.17482900619506836
1778642064.7099996,28.711286306381226,103,rx,2730,16000,1,pcm_u8,2730,0.16960763931274414
1778642064.8778975,28.879184246063232,104,rx,2730,16000,1,pcm_u8,2730,0.16789793968200684
1778642065.0658174,29.06710410118103,105,rx,2730,16000,1,pcm_u8,2730,0.18791985511779785
1778642065.2188199,29.220106601715088,106,rx,2730,16000,1,pcm_u8,2730,0.15300250053405762
1778642065.3915899,29.392876625061035,107,rx,2730,16000,1,pcm_u8,2730,0.17277002334594727
1778642065.5675552,29.5688419342041,108,rx,2730,16000,1,pcm_u8,2730,0.1759653091430664
1778642065.7464638,29.747750520706177,109,rx,2730,16000,1,pcm_u8,2730,0.1789085865020752
1778642065.9092746,29.910561323165894,110,rx,2730,16000,1,pcm_u8,2730,0.1628108024597168
1778642066.0739193,30.07520604133606,111,rx,2730,16000,1,pcm_u8,2730,0.16464471817016602
1778642066.2396777,30.24096441268921,112,rx,2730,16000,1,pcm_u8,2730,0.16575837135314941
1778642066.4104187,30.411705493927002,113,rx,2730,16000,1,pcm_u8,2730,0.17074108123779297
1778642066.589486,30.59077262878418,114,rx,2730,16000,1,pcm_u8,2730,0.17906713485717773
1778642066.7515202,30.752806901931763,115,rx,2730,16000,1,pcm_u8,2730,0.162034273147583
1778642066.9216154,30.92290210723877,116,rx,2730,16000,1,pcm_u8,2730,0.17009520530700684
1778642067.0981584,31.099445104599,117,rx,2730,16000,1,pcm_u8,2730,0.1765429973602295
1778642067.4337957,31.43508243560791,118,rx,2730,16000,1,pcm_u8,2730,0.33563733100891113
1778642067.6104763,31.61176300048828,119,rx,2730,16000,1,pcm_u8,2730,0.1766805648803711
1778642067.7902765,31.791563272476196,120,rx,2730,16000,1,pcm_u8,2730,0.17980027198791504
1778642067.9464467,31.947733402252197,121,rx,2730,16000,1,pcm_u8,2730,0.15617012977600098
1778642068.1185026,32.119789361953735,122,rx,2730,16000,1,pcm_u8,2730,0.17205595970153809
1778642068.2875333,32.288820028305054,123,rx,2730,16000,1,pcm_u8,2730,0.16903066635131836
1778642068.4586651,32.459951877593994,124,rx,2730,16000,1,pcm_u8,2730,0.17113184928894043
1778642068.631223,32.63250970840454,125,rx,2730,16000,1,pcm_u8,2730,0.17255783081054688
1778642068.8005543,32.801841020584106,126,rx,2730,16000,1,pcm_u8,2730,0.16933131217956543
1778642068.9742928,32.975579500198364,127,rx,2730,16000,1,pcm_u8,2730,0.1737384796142578
1778642069.1449242,33.14621090888977,128,rx,2730,16000,1,pcm_u8,2730,0.17063140869140625
1778642069.3114083,33.312695026397705,129,rx,2730,16000,1,pcm_u8,2730,0.16648411750793457
1778642069.488846,33.4901328086853,130,rx,2730,16000,1,pcm_u8,2730,0.17743778228759766
1778642069.653183,33.65446972846985,131,rx,2730,16000,1,pcm_u8,2730,0.1643369197845459
1778642069.8231852,33.824471950531006,132,rx,2730,16000,1,pcm_u8,2730,0.17000222206115723
1778642069.9988744,34.00016117095947,133,rx,2730,16000,1,pcm_u8,2730,0.1756892204284668
