timestamp,elapsed_sec,topic,value
1778643541.9426258,17.396186113357544,/rb23/audio_mode,1
1778643566.9809809,42.43454122543335,/rb23/audio_mode,2
1778643597.1419075,72.59546780586243,/rb23/audio_mode,3
1778643626.2258162,101.67937660217285,/rb23/audio_mode,1
1778643641.194071,116.64763140678406,/rb23/cam_stable,False
1778643642.0389118,117.49247217178345,/rb23/cam_stable,True
1778643643.2228768,118.67643713951111,/rb23/force_rpi,True
1778643643.8075604,119.26112079620361,/rb23/force_rpi,False
1778643655.437806,130.89136624336243,/rb23/audio_mode,2
1778643687.3008387,162.754399061203,/rb23/audio_mode,1
1778643717.7815852,193.23514556884766,/rb23/audio_mode,3
1778643753.0659359,228.51949620246887,/rb23/audio_mode,1
1778643780.4511762,255.90473651885986,/rb23/audio_mode,2
1778643805.4367223,280.8902826309204,/rb23/audio_mode,1
1778643835.9887369,311.4422972202301,/rb23/audio_mode,3
1778643866.6382155,342.09177589416504,/rb23/audio_mode,1
1778643896.8798816,372.33344197273254,/rb23/audio_mode,2
1778643928.378297,403.83185744285583,/rb23/audio_mode,1
1778643955.429596,430.88315629959106,/rb23/audio_mode,3
1778643987.6457455,463.0993058681488,/rb23/audio_mode,1
1778644015.3948789,490.84843921661377,/rb23/audio_mode,2
1778644047.240911,522.6944713592529,/rb23/audio_mode,1
1778644075.5793664,551.0329267978668,/rb23/audio_mode,3
1778644107.3248625,582.778422832489,/rb23/audio_mode,1
