timestamp,elapsed_sec,seq,payload_size_bytes,format,dt_since_previous_sec
1778643524.5810995,0.03465986251831055,1,12602,jpeg,
1778643524.62004,0.07360029220581055,2,12611,jpeg,0.0389404296875
1778643524.6756475,0.12920784950256348,3,12581,jpeg,0.05560755729675293
1778643524.723482,0.17704224586486816,4,12571,jpeg,0.04783439636230469
1778643524.771921,0.22548127174377441,5,12563,jpeg,0.04843902587890625
1778643524.823165,0.27672529220581055,6,12576,jpeg,0.05124402046203613
1778643524.8741264,0.32768678665161133,7,12598,jpeg,0.05096149444580078
1778643524.9233344,0.3768947124481201,8,12556,jpeg,0.04920792579650879
1778643524.9735065,0.4270668029785156,9,12562,jpeg,0.05017209053039551
1778643525.0271976,0.4807579517364502,10,12566,jpeg,0.05369114875793457
1778643525.0722835,0.5258438587188721,11,12553,jpeg,0.045085906982421875
1778643525.1227396,0.5762999057769775,12,12515,jpeg,0.05045604705810547
1778643525.1758344,0.6293947696685791,13,12554,jpeg,0.05309486389160156
1778643525.2228262,0.6763865947723389,14,12556,jpeg,0.046991825103759766
1778643525.270324,0.7238843441009521,15,12559,jpeg,0.04749774932861328
1778643525.3228548,0.7764151096343994,16,12566,jpeg,0.052530765533447266
1778643525.3710964,0.8246567249298096,17,12572,jpeg,0.048241615295410156
1778643525.4218614,0.8754217624664307,18,12568,jpeg,0.050765037536621094
1778643525.4725487,0.9261090755462646,19,12566,jpeg,0.050687313079833984
1778643525.5218155,0.9753758907318115,20,12557,jpeg,0.049266815185546875
1778643525.5710495,1.0246098041534424,21,12538,jpeg,0.04923391342163086
1778643525.621819,1.0753793716430664,22,12567,jpeg,0.05076956748962402
1778643525.669695,1.1232552528381348,23,12567,jpeg,0.04787588119506836
1778643525.7199295,1.1734898090362549,24,12572,jpeg,0.05023455619812012
1778643525.7715235,1.225083827972412,25,12593,jpeg,0.05159401893615723
1778643525.819679,1.2732393741607666,26,12564,jpeg,0.04815554618835449
1778643525.8691351,1.3226954936981201,27,12574,jpeg,0.049456119537353516
1778643525.921576,1.375136375427246,28,12568,jpeg,0.05244088172912598
1778643525.9699683,1.4235286712646484,29,12559,jpeg,0.048392295837402344
1778643526.0182765,1.471836805343628,30,12590,jpeg,0.04830813407897949
1778643526.0703824,1.5239427089691162,31,12592,jpeg,0.05210590362548828
1778643526.1203163,1.5738766193389893,32,12565,jpeg,0.04993391036987305
1778643526.1697595,1.6233198642730713,33,12573,jpeg,0.04944324493408203
1778643526.224334,1.6778943538665771,34,12580,jpeg,0.05457448959350586
1778643526.2712386,1.7247989177703857,35,12568,jpeg,0.046904563903808594
1778643526.3204184,1.7739787101745605,36,12565,jpeg,0.049179792404174805
1778643526.3736303,1.827190637588501,37,12578,jpeg,0.05321192741394043
1778643526.4200404,1.873600721359253,38,12567,jpeg,0.04641008377075195
1778643526.4729066,1.926466941833496,39,12590,jpeg,0.052866220474243164
1778643526.5219932,1.9755535125732422,40,12581,jpeg,0.049086570739746094
1778643526.5695572,2.0231175422668457,41,12591,jpeg,0.047564029693603516
1778643526.6213863,2.074946641921997,42,12574,jpeg,0.05182909965515137
1778643526.671472,2.125032424926758,43,12580,jpeg,0.05008578300476074
1778643526.7190826,2.172642946243286,44,12568,jpeg,0.04761052131652832
1778643526.7698066,2.2233669757843018,45,12572,jpeg,0.050724029541015625
1778643526.8290834,2.2826437950134277,46,12551,jpeg,0.05927681922912598
1778643526.8751066,2.328666925430298,47,12562,jpeg,0.04602313041687012
1778643526.9207382,2.374298572540283,48,12572,jpeg,0.04563164710998535
1778643526.9749048,2.4284651279449463,49,12594,jpeg,0.054166555404663086
1778643527.0231764,2.4767367839813232,50,12609,jpeg,0.04827165603637695
1778643527.070091,2.523651361465454,51,12594,jpeg,0.04691457748413086
1778643527.1224065,2.5759668350219727,52,12589,jpeg,0.052315473556518555
1778643527.1709633,2.624523639678955,53,12580,jpeg,0.04855680465698242
1778643527.220695,2.67425537109375,54,12581,jpeg,0.04973173141479492
1778643527.2721934,2.7257537841796875,55,12580,jpeg,0.0514984130859375
1778643527.3710358,2.8245961666107178,56,12546,jpeg,0.09884238243103027
1778643527.4212687,2.874829053878784,57,12563,jpeg,0.050232887268066406
1778643527.4690292,2.9225895404815674,58,12565,jpeg,0.0477604866027832
1778643527.5199232,2.9734835624694824,59,12567,jpeg,0.05089402198791504
1778643527.5708582,3.024418592453003,60,12553,jpeg,0.05093502998352051
1778643527.618842,3.072402238845825,61,12564,jpeg,0.047983646392822266
1778643527.670479,3.1240394115448,62,12591,jpeg,0.05163717269897461
1778643527.7200046,3.173564910888672,63,12583,jpeg,0.04952549934387207
1778643527.7677474,3.2213077545166016,64,12562,jpeg,0.04774284362792969
1778643527.819478,3.273038387298584,65,12555,jpeg,0.05173063278198242
1778643527.869816,3.323376417160034,66,12581,jpeg,0.050338029861450195
1778643527.918136,3.3716962337493896,67,12574,jpeg,0.04831981658935547
1778643527.9681323,3.4216926097869873,68,12572,jpeg,0.049996376037597656
1778643528.020574,3.4741344451904297,69,12571,jpeg,0.05244183540344238
1778643528.0685456,3.5221059322357178,70,12563,jpeg,0.047971487045288086
1778643528.120983,3.5745432376861572,71,12568,jpeg,0.05243730545043945
1778643528.1699278,3.623488187789917,72,12568,jpeg,0.048944950103759766
1778643528.218028,3.67158842086792,73,12572,jpeg,0.04810023307800293
1778643528.271317,3.72487735748291,74,12580,jpeg,0.053288936614990234
1778643528.321112,3.774672269821167,75,12574,jpeg,0.049794912338256836
1778643528.3680286,3.8215889930725098,76,12580,jpeg,0.04691672325134277
1778643528.4227912,3.8763515949249268,77,12581,jpeg,0.05476260185241699
1778643528.4721591,3.9257194995880127,78,12549,jpeg,0.04936790466308594
1778643528.520515,3.9740753173828125,79,12557,jpeg,0.048355817794799805
1778643528.5716276,4.025187969207764,80,12569,jpeg,0.05111265182495117
1778643528.6224923,4.076052665710449,81,12560,jpeg,0.05086469650268555
1778643528.671514,4.12507438659668,82,12572,jpeg,0.04902172088623047
1778643528.7190843,4.17264461517334,83,12596,jpeg,0.047570228576660156
1778643528.7716238,4.225184202194214,84,12564,jpeg,0.05253958702087402
1778643528.8202329,4.2737932205200195,85,12557,jpeg,0.048609018325805664
1778643528.8710594,4.324619770050049,86,12564,jpeg,0.0508265495300293
1778643528.9214385,4.3749988079071045,87,12563,jpeg,0.050379037857055664
1778643528.96862,4.422180414199829,88,12588,jpeg,0.04718160629272461
1778643529.020844,4.474404335021973,89,12593,jpeg,0.052223920822143555
